experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSABTZFT,47124,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 22:29:32.475000+00:00,2022-01-26 22:31:05.194000+00:00,1,,,,,,Control,43.106,43.1,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.938,21.935,1.0,19048048
PSABTZFT,47135,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 22:31:33.386000+00:00,2022-01-25 22:33:07.366000+00:00,1,,,,,,Treatment 2,46.701,46.694,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36.237,36.224,1.0,19023753
PSABTZFT,47515,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-02-04 05:16:00.131000+00:00,2022-02-04 05:33:03.665000+00:00,1,,,,,,Control,989.697,989.687,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.245,20.241,1.0,19191315
PSABTZFT,47517,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 19:08:18.591000+00:00,2022-01-25 20:33:17.640000+00:00,2,,,,,,Treatment 2,49.944,49.938,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5009.193,5009.186,2.0,19016954
PSABTZFT,47518,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-02-18 03:04:29.550000+00:00,2022-02-18 03:05:42.421000+00:00,1,,,,,,Control,32.777,32.768,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.334,18.329,1.0,19393210
PSABTZFT,47525,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 21:53:09.874000+00:00,2022-01-25 22:02:02.813000+00:00,2,,,,,,Treatment 1,358.267,13.566,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,112.643,99.97,1.0,19023144
PSABTZFT,47531,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 19:09:21.038000+00:00,2022-01-26 17:57:57.728000+00:00,5,,,,,,Treatment 2,48.541,13.149,1.0,0.0,,,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5508.393,5476.798,2.0,19017015
PSABTZFT,47532,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 22:04:10.285000+00:00,2022-01-26 20:37:57.244000+00:00,3,,,,,,Treatment 2,890.485,40.298,1.0,0.0,,,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,80270.571,202.522,2.0,19023328
PSABTZFT,47539,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 01:37:57.734000+00:00,2022-01-26 01:39:11.296000+00:00,1,,,,,,Treatment 2,20.779,20.771,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28.502,28.498,1.0,19025216
PSABTZFT,47933,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 21:53:47.574000+00:00,2022-01-25 22:05:59.029000+00:00,2,,,,,,Treatment 2,141.078,141.073,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,355.25,129.39,1.0,19023156
PSABTZFT,47937,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 20:01:52.885000+00:00,2022-01-26 20:04:45.372000+00:00,1,,,,,,Treatment 2,87.328,36.26,1.0,0.0,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,46.217,32.545,1.0,19045093
PSABTZFT,47942,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 17:09:49.932000+00:00,2022-01-26 18:07:41.124000+00:00,2,,,,,,Treatment 2,78.058,78.049,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,129.767,117.548,1.0,19036558
PSABTZFT,47946,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 21:58:21.458000+00:00,2022-01-25 22:05:12.141000+00:00,1,,,,,,Control,280.576,187.976,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29.96,29.953,1.0,19023226
PSABTZFT,47947,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 19:08:37.056000+00:00,,1,,,,,,Treatment 2,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,19042639
PSABTZFT,47949,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 20:33:16.851000+00:00,2022-01-25 20:35:19.337000+00:00,1,,,,,,Treatment 1,18.092,18.086,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23.931,23.924,1.0,19021112
PSABTZFT,47951,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 21:32:32.739000+00:00,2022-01-25 21:34:45.760000+00:00,1,,,,,,Treatment 2,43.515,43.504,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30.884,30.876,1.0,19022667
PSABTZFT,47954,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 19:55:16.464000+00:00,2022-01-26 19:59:34.959000+00:00,1,,,,,,Treatment 1,110.338,110.329,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,88.805,88.79,1.0,19044733
PSABTZFT,47956,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-27 18:13:58.937000+00:00,,1,,,,,,Treatment 1,44.202,32.62,1.0,0.0,,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,70.663,61.557,1.0,19064432
PSABTZFT,48842,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-02-25 19:02:27.960000+00:00,2022-02-25 19:05:44.255000+00:00,1,,,,,,Control,97.779,37.442,1.0,0.0,,,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23.563,23.552,1.0,19477118
PSABTZFT,51037,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 21:18:20.757000+00:00,2022-01-25 21:19:59.138000+00:00,1,,,,,,Control,50.465,50.459,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28.966,28.963,1.0,19022346
PSABTZFT,52185,2022-01-26 14:00:00+00:00,,2022-01-26 18:49:32.943000+00:00,,1,,,,,,Treatment 1,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,19041799
PSABTZFT,56331,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 01:18:12.176000+00:00,2022-01-26 01:41:22.334000+00:00,1,,,,,,Treatment 2,53.474,34.118,1.0,0.0,,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1252.379,1252.357,1.0,19025106
PSABTZFT,56333,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 03:05:47.655000+00:00,,2,,,,,,Treatment 2,1867.653,1845.474,1.0,0.0,,,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,41.051,17.24,1.0,19025643
PSABTZFT,56335,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-28 07:57:43.198000+00:00,2022-01-28 08:06:38.178000+00:00,1,,,,,,Treatment 2,326.297,268.384,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,48.317,48.298,1.0,19075338
PSABTZFT,56336,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 05:00:13.270000+00:00,2022-01-26 05:01:15.792000+00:00,1,,,,,,Control,24.777,24.772,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.305,14.302,1.0,19025952
PSABTZFT,56339,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 21:54:43.815000+00:00,2022-01-25 21:56:09.373000+00:00,1,,,,,,Treatment 2,13.572,13.567,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43.47,43.464,1.0,19023164
PSABTZFT,56340,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-26 22:05:04.338000+00:00,2022-01-26 22:11:14.247000+00:00,1,,,,,,Control,208.344,208.338,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,81.438,81.435,1.0,19047811
PSABTZFT,56344,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-29 04:29:52.112000+00:00,2022-01-29 04:37:03.213000+00:00,1,,,,,,Treatment 1,190.679,190.67,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,209.698,209.689,1.0,19092880
PSABTZFT,56499,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-25 21:19:10.499000+00:00,2022-01-25 21:23:58.232000+00:00,1,,,,,,Treatment 2,127.485,81.047,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41.993,41.99,1.0,19022379
PSABTZFT,58786,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-14 19:04:32.387000+00:00,2021-12-14 19:05:36.690000+00:00,1,,,,,,Treatment 2,12.695,12.69,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.882,9.879,1.0,18613792
PSABTZFT,58795,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-14 16:54:10.908000+00:00,2021-12-20 15:33:04.041000+00:00,2,,,,,,Treatment 1,27.162,27.154,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,513464.584,513464.578,2.0,18608794
PSABTZFT,59614,2022-03-02 16:53:38.369000+00:00,2022-03-04 05:00:00+00:00,2022-03-02 18:38:05.097000+00:00,2022-03-02 18:42:33.463000+00:00,1,,,,,,Treatment 2,24.821,24.816,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.916,11.906,1.0,19534842
PSABTZFT,60038,2022-01-25 19:00:00+00:00,2022-01-26 16:00:00+00:00,2022-01-31 17:51:06.961000+00:00,2022-02-13 05:40:49.120000+00:00,2,,,,,,Treatment 2,95.161,62.966,1.0,0.0,,,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1079077.845,17.947,2.0,19108710
PSABTZFT,62387,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-20 14:19:29.659000+00:00,2021-12-20 14:20:59.598000+00:00,1,,,,,,Treatment 2,24.51,24.501,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29.577,29.573,1.0,18659292
PSABTZFT,62389,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-14 14:20:54.874000+00:00,2021-12-14 14:22:48.825000+00:00,1,,,,,,Control,38.396,38.391,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28.135,28.132,1.0,18602353
PSABTZFT,62390,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-14 14:23:23.702000+00:00,2021-12-20 16:47:17.953000+00:00,3,,,,,,Treatment 1,86209.471,29.266,1.0,0.0,,,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,440538.226,59.161,2.0,18602476
PSABTZFT,62392,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-15 02:22:44.089000+00:00,2021-12-15 02:23:10.709000+00:00,1,,,,,,Treatment 1,8.883,8.878,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.723,6.719,1.0,18620135
PSABTZFT,62393,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-22 16:20:44.179000+00:00,2021-12-22 16:21:42.714000+00:00,1,,,,,,Control,6.135,6.129,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.253,5.251,1.0,18671575
PSABTZFT,62395,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-15 03:21:05.915000+00:00,2021-12-15 03:21:55.961000+00:00,1,,,,,,Treatment 1,17.396,17.391,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.603,11.6,1.0,18620349
PSABTZFT,62396,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-15 14:38:21.520000+00:00,2021-12-15 14:42:25.447000+00:00,1,,,,,,Treatment 1,169.468,169.463,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36.422,36.419,1.0,18623300
PSABTZFT,62398,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-14 14:20:12.667000+00:00,2021-12-14 14:22:46.410000+00:00,1,,,,,,Treatment 2,56.193,56.187,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,47.759,47.756,1.0,18602332
PSABTZFT,62399,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-14 19:03:51.960000+00:00,2021-12-15 14:22:17.065000+00:00,2,,,,,,Treatment 1,68912.163,68912.157,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,108.024,108.021,1.0,18613779
PSABTZFT,62400,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-14 14:40:12.566000+00:00,2021-12-14 14:42:39.415000+00:00,1,,,,,,Control,99.391,99.386,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.864,10.861,1.0,18603219
PSABTZFT,62401,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-14 14:31:50.138000+00:00,2021-12-14 14:33:27.084000+00:00,1,,,,,,Treatment 1,24.864,24.859,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22.284,22.281,1.0,18602827
PSABTZFT,62406,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-20 23:41:13.743000+00:00,2021-12-21 00:24:07.721000+00:00,2,,,,,,Control,169.923,57.362,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,61.794,61.791,1.0,18665109
PSABTZFT,62407,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-14 14:15:22.769000+00:00,2021-12-16 14:38:21.483000+00:00,3,,,,,,Treatment 1,173073.294,173045.612,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,46.338,46.334,1.0,18602100
PSABTZFT,62419,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-15 01:12:59.057000+00:00,2021-12-15 01:13:46.353000+00:00,1,,,,,,Control,28.522,28.518,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.912,6.909,1.0,18619829
PSABTZFT,62512,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-15 14:37:29.391000+00:00,2021-12-16 18:42:21.164000+00:00,2,,,,,,Treatment 1,131.097,131.087,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100926.893,100926.888,2.0,18623264
PSABTZFT,62513,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-20 14:50:05.985000+00:00,2021-12-20 14:51:54.391000+00:00,1,,,,,,Treatment 1,48.682,48.673,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27.503,27.499,1.0,18659819
PSABTZFT,62514,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-16 00:02:57.058000+00:00,2021-12-16 00:08:03.377000+00:00,1,,,,,,Control,234.083,234.077,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28.386,28.383,1.0,18636345
PSABTZFT,62515,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-20 16:43:12.297000+00:00,2021-12-20 16:50:53.489000+00:00,1,,,,,,Treatment 2,109.658,105.291,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.155,4.151,1.0,18661692
PSABTZFT,62517,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2022-01-02 08:10:27.527000+00:00,2022-01-02 08:12:28.456000+00:00,1,,,,,,Control,19.011,19.006,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.331,13.327,1.0,18674516
PSABTZFT,62520,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-15 14:39:46.190000+00:00,,1,,,,,,Treatment 2,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,18623385
PSABTZFT,62525,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-17 19:59:42.371000+00:00,2021-12-17 20:00:21.154000+00:00,1,,,,,,Control,10.081,10.076,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.323,7.32,1.0,18656913
PSABTZFT,62528,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-15 14:39:12.925000+00:00,,1,,,,,,Treatment 2,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,18623348
PSABTZFT,62529,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-14 22:40:37.599000+00:00,2021-12-16 16:51:49.822000+00:00,3,,,,,,Control,99528.246,99486.5,1.0,0.0,,,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,52185.268,19.464,2.0,18618771
PSABTZFT,62530,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-15 14:34:01.112000+00:00,2021-12-15 14:40:39.944000+00:00,1,,,,,,Treatment 2,271.035,271.029,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.49,17.486,1.0,18623129
PSABTZFT,62531,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-14 14:26:06.999000+00:00,2021-12-14 14:27:36.019000+00:00,1,,,,,,Control,19.299,19.294,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30.391,30.387,1.0,18602573
PSABTZFT,62532,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-16 19:33:42.825000+00:00,2021-12-20 04:47:25.488000+00:00,3,,,,,,Treatment 2,292345.597,20.018,1.0,0.0,,,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,21.606,21.598,1.0,18648042
PSABTZFT,62536,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-15 14:31:00.282000+00:00,,5,,,,,,Control,1756409.405,1756394.986,1.0,0.0,,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2661147.344,2661133.834,2.0,18623045
PSABTZFT,62537,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-14 14:32:26.651000+00:00,2021-12-14 14:36:06.783000+00:00,1,,,,,,Treatment 2,122.508,122.502,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,51.64,51.637,1.0,18602855
PSABTZFT,62540,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-16 15:29:56.365000+00:00,2021-12-16 15:31:37.605000+00:00,1,,,,,,Treatment 1,16.928,11.802,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.893,16.889,1.0,18641100
PSABTZFT,62545,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-16 18:52:36.148000+00:00,2021-12-16 18:53:37.540000+00:00,1,,,,,,Control,17.007,17.005,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12.582,12.58,1.0,18646903
PSABTZFT,62556,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-15 02:36:16.578000+00:00,2021-12-15 02:36:38.252000+00:00,1,,,,,,Treatment 1,6.988,6.983,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.681,6.679,1.0,18620201
PSABTZFT,62558,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-17 16:44:39.323000+00:00,2021-12-20 17:41:26.477000+00:00,2,,,,,,Treatment 1,471.248,92.253,1.0,0.0,,,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,344.332,344.328,1.0,18654550
PSABTZFT,62670,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-16 14:13:43.902000+00:00,2021-12-16 14:17:35.519000+00:00,1,,,,,,Treatment 2,53.147,53.139,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38.061,38.057,1.0,18638800
