psa_id,section_names,problem_id,answer_text,solved_answer,CWA_frequency,sequence_id,pra_id,type,name,pr_position,answer,is_correct,incorrect_message,position
PSAHQV,"{""S2 [treatment2]""}",1064148,-2,-2.0,7.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,0,0.0,7.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,3,3.0,7.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,8,8.0,7.0,7148.0,PRA26B6,MasterySection,S2 [treatment2],52.0,8,False,"<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;SUBTRACT 6 from 1 before multiplying by 2</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;You need to isolate c / 2</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp;&nbsp;<span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp;&nbsp;<strong><span style=""color: #ff0000;"">2 *&nbsp;</span></strong>c/2 + 6 = 1&nbsp;<strong><span style=""color: #ff0000;"">*&nbsp;2</span></strong></span></p>",8.0
PSAHQV,"{""S2 [treatment2]""}",1064148,-12,-12.0,6.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,14,14.0,5.0,7148.0,PRA26B6,MasterySection,S2 [treatment2],52.0,14,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp;<span style=""color: #0000ff;"">&nbsp; SUBTRACT 6 from both sides</span></span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;The sign of&nbsp;6 is addition (<strong>+</strong>)</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;""><strong>&nbsp; &nbsp; &nbsp;</strong>Use the opposite sign, subtraction (-), to eliminate&nbsp;6 from the right side of the equation</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;c/2 + 6 = 1&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<span style=""color: #ff0000;""><strong>+</strong> 6 &nbsp; <strong>+</strong> 6</span></span></p>",3.0
PSAHQV,"{""S2 [treatment2]""}",1064148,-7,-7.0,4.0,7148.0,PRA26B6,MasterySection,S2 [treatment2],52.0,-7,False,"<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;MULTIPLY&nbsp;both sides by 2</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;The operation between c and 2 is division</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;Use the opposite operation (multiplication in this case) to isolate&nbsp;c</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp;&nbsp; Step 1:&nbsp;&nbsp;<span style=""color: #00ff00;"">Correct</span></span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp;c/2 + 6 = 1&nbsp;</span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- 6 &nbsp; - 6</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 2:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp; c/2&nbsp;=&nbsp;-5</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp; &nbsp;<strong>&nbsp;</strong><span style=""color: #ff0000;""><strong>-2</strong> &nbsp; &nbsp; <strong>-2</strong></span><strong>&nbsp;</strong></span></p>",7.0
PSAHQV,"{""S2 [treatment2]""}",1064148,-3.5,-3.5,3.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-8,-8.0,3.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-9,-9.0,3.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,35,35.0,3.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,4,4.0,3.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-5/2,-2.5,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-3,-3.0,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,13,13.0,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,25,25.0,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,6,6.0,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-1,-1.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-10/2,-5.0,1.0,7148.0,PRA26B6,MasterySection,S2 [treatment2],52.0,-5,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #0000ff;"">Don't forget to multiply by 2</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp;&nbsp;<span style=""color: #00ff00;"">Correct</span></span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp;c/2 + 6 = 1&nbsp;</span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- 6 &nbsp; - 6</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 2:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;&nbsp;<span style=""color: #ff0000;"">c<strong>/2</strong>&nbsp;=&nbsp;-5</span></span></p>",6.0
PSAHQV,"{""S2 [treatment2]""}",1064148,-15,-15.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-18,-18.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-19,-19.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-2 1/2,-999999.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-2.1,-2.1,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-2/5,-0.4,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-25,-25.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-36,-36.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-42,-42.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-6,-6.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,122,122.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,16,16.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,5/2,2.5,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,24,24.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,43,43.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,60,60.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,7,7.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,9,9.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,12,12.0,62.0,7148.0,PRA26B5,MasterySection,S2 [treatment2],51.0,12 ,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #0000ff;"">Check your sign</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; <span style=""color: #0000ff;"">&nbsp;Positive x Positive = Positive</span></span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;Negative x Negative = Positive</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;Positive x Negative = Negative</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;Negative x Positive = Negative</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #00ff00;""><span style=""color: #000000;"">Step 1:</span>&nbsp;&nbsp;Correct</span></span></p>
<p><span style=""font-size: 14pt;""><span style=""color: #00ff00;"">&nbsp; &nbsp; &nbsp;a/3 + 9 = 5</span>&nbsp;</span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- 9 &nbsp; - 9</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; <span style=""color: #00ff00;"">&nbsp;<span style=""color: #000000;"">Step 2:</span> &nbsp;Correct</span></span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; 3 * a/3&nbsp;=&nbsp;-4 * 3&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #ff0000;""><span style=""color: #000000;"">Sign:</span> &nbsp;Incorrect</span></span></p>
<p><span style=""font-size: 14pt;""><span style=""color: #ff0000;"">&nbsp; &nbsp; &nbsp;-4 * 3 IS NOT&nbsp;12&nbsp; &nbsp;</span> &nbsp;&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>",2.0
PSAHQV,"{""S2 [treatment2]""}",1064147,-4,-4.0,18.0,7148.0,PRA26B5,MasterySection,S2 [treatment2],51.0,-4,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #0000ff;"">Don't forget to multiply by 3</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp;&nbsp;<span style=""color: #00ff00;"">Correct</span></span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp;a/3 + 9 = 5&nbsp;</span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- 9 &nbsp; - 9</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 2:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;&nbsp;<span style=""color: #ff0000;"">a<strong>/3</strong>&nbsp;=&nbsp;-4</span></span></p>",6.0
PSAHQV,"{""S2 [treatment2]""}",1064147,6,6.0,8.0,7148.0,PRA26B5,MasterySection,S2 [treatment2],51.0,6,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #0000ff;"">Subtract 9 from 5 before multiplying by 3</span></span></p>
<p><span style=""font-size: 14pt;""><span style=""color: #0000ff;"">&nbsp; &nbsp; &nbsp;You need to isolate a / 3</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp;&nbsp;<span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; <strong><span style=""color: #ff0000;"">3 *</span></strong> a/3 + 9 = 5 <strong><span style=""color: #ff0000;"">*&nbsp;3</span></strong></span></p>",4.0
PSAHQV,"{""S2 [treatment2]""}",1064147,4,4.0,7.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-1,-1.0,6.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-3,-3.0,6.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-9,-9.0,6.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,15,15.0,6.0,7148.0,PRA26B5,MasterySection,S2 [treatment2],51.0,15,False,"<p><span style=""font-size: 14pt; color: rgb(0, 0, 255);"">&nbsp; &nbsp; &nbsp;Don't forget to subtract 9 before multiplying</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;a/3 + <span style=""color: #ff0000;""><strong>9</strong></span> = 5&nbsp;</span></p>",5.0
PSAHQV,"{""S2 [treatment2]""}",1064147,42,42.0,6.0,7148.0,PRA26B5,MasterySection,S2 [treatment2],51.0,42,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp;<span style=""color: #0000ff;"">&nbsp; SUBTRACT 9 from both sides</span></span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;The sign of&nbsp;9 is addition (<strong>+</strong>)</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;""><strong>&nbsp; &nbsp; &nbsp;</strong>Use the opposite sign, subtraction (-), to eliminate&nbsp;9 from the right side of the equation</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;a/3 + 9 = 5&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<span style=""color: #ff0000;""><strong>+</strong> 9 &nbsp; <strong>+</strong> 9</span></span></p>",3.0
PSAHQV,"{""S2 [treatment2]""}",1064147,9,9.0,6.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-42,-42.0,5.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,1,1.0,5.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,35,35.0,5.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-15,-15.0,4.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-4/3,-1.3333333333333333,4.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,14,14.0,4.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,2,2.0,4.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,27,27.0,4.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,3,3.0,4.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,5,5.0,4.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-16,-16.0,3.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-7,-7.0,3.0,7148.0,PRA26B5,MasterySection,S2 [treatment2],51.0,-7,False,"<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;MULTIPLY&nbsp;both sides by 3</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;The operation between a and 3 is division</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;Use the opposite operation (multiplication in this case) to isolate&nbsp;a</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp;&nbsp; Step 1:&nbsp;&nbsp;<span style=""color: #00ff00;"">Correct</span></span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp;a/3 + 9 = 5&nbsp;</span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- 9 &nbsp; - 9</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 2:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp; a/3&nbsp;=&nbsp;-4</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp; &nbsp;<strong>&nbsp;</strong><span style=""color: #ff0000;""><strong>-3</strong> &nbsp; &nbsp; <strong>-3</strong></span><strong>&nbsp;</strong></span></p>",7.0
PSAHQV,"{""S2 [treatment2]""}",1064147,22,22.0,3.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-18,-18.0,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-36,-36.0,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,1.5,1.5,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,16,16.0,2.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,24,24.0,2.0,7148.0,PRA26B5,MasterySection,S2 [treatment2],51.0,24,False,"<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;SUBTRACT 9 from 5 before multiplying by 3</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;You need to isolate a / 3</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp;&nbsp;<span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp;&nbsp;<strong><span style=""color: #ff0000;"">3 *&nbsp;</span></strong>a/3 + 9 = 5&nbsp;<strong><span style=""color: #ff0000;"">*&nbsp;3</span></strong></span></p>",8.0
PSAHQV,"{""S2 [treatment2]""}",1064147,-0.75,-0.75,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-1 1/3,-999999.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-1.3,-1.3,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-1.3333333,-1.3333333,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-1.75,-1.75,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-14,-14.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-212,-212.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-5,-5.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-6,-6.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,-8,-8.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,0.4,0.4,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,0.75,0.75,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,1.3,1.3,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,1.33,1.33,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,1.33333333,1.33333333,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,1.58740105,1.58740105,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,11,11.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,20,20.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,25,25.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,32,32.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,45,45.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,69,69.0,1.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064147,7,7.0,1.0,,,,,,,,,
